11:58:13.221 [ApplicationImpl pooled thread 82] INFO  com.browserstack.utils.Helpers - null
11:58:13.222 [ApplicationImpl pooled thread 82] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:01:07.142 [ApplicationImpl pooled thread 84] INFO  c.b.l.BrowserStackRunExtension - testng
12:01:07.142 [ApplicationImpl pooled thread 84] INFO  com.browserstack.utils.Helpers - null
12:01:07.143 [ApplicationImpl pooled thread 84] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:02:28.584 [ApplicationImpl pooled thread 91] INFO  c.b.l.BrowserStackRunExtension - testng
12:02:28.584 [ApplicationImpl pooled thread 91] INFO  com.browserstack.utils.Helpers - null
12:02:28.585 [ApplicationImpl pooled thread 91] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:05:18.134 [ApplicationImpl pooled thread 91] INFO  c.b.l.BrowserStackRunExtension - testng
12:05:18.134 [ApplicationImpl pooled thread 91] INFO  com.browserstack.utils.Helpers - null
12:05:18.134 [ApplicationImpl pooled thread 91] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:06:05.819 [ApplicationImpl pooled thread 92] INFO  c.b.l.BrowserStackRunExtension - testng
12:06:05.819 [ApplicationImpl pooled thread 92] INFO  com.browserstack.utils.Helpers - null
12:06:05.821 [ApplicationImpl pooled thread 92] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:07:00.061 [ApplicationImpl pooled thread 92] INFO  c.b.l.BrowserStackRunExtension - testng
12:07:00.061 [ApplicationImpl pooled thread 92] INFO  com.browserstack.utils.Helpers - null
12:07:00.062 [ApplicationImpl pooled thread 92] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:08:51.231 [ApplicationImpl pooled thread 97] INFO  c.b.l.BrowserStackRunExtension - testng
12:08:51.231 [ApplicationImpl pooled thread 97] INFO  com.browserstack.utils.Helpers - null
12:08:51.231 [ApplicationImpl pooled thread 97] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
